Percentiles,JDBC Request2
0.1,22449.0
0.2,22449.0
0.3,22449.0
0.4,22449.0
0.5,22449.0
0.6,22449.0
0.7,22449.0
0.8,22449.0
0.9,22449.0
1.0,22449.0
1.1,22449.0
1.2,22449.0
1.3,22449.0
1.4,22449.0
1.5,22449.0
1.6,22449.0
1.7,22449.0
1.8,22449.0
1.9,22449.0
2.0,22449.0
2.1,22449.0
2.2,22449.0
2.3,22449.0
2.4,22449.0
2.5,22449.0
2.6,22449.0
2.7,22449.0
2.8,22449.0
2.9,22449.0
3.0,22449.0
3.1,22449.0
3.2,22449.0
3.3,22449.0
3.4,22449.0
3.5,22449.0
3.6,22449.0
3.7,22449.0
3.8,22449.0
3.9,22449.0
4.0,22449.0
4.1,22449.0
4.2,22449.0
4.3,22449.0
4.4,22449.0
4.5,22449.0
4.6,22449.0
4.7,22449.0
4.8,22449.0
4.9,22449.0
5.0,22449.0
5.1,22449.0
5.2,22449.0
5.3,22449.0
5.4,22449.0
5.5,22449.0
5.6,22449.0
5.7,22449.0
5.8,22449.0
5.9,22449.0
6.0,22449.0
6.1,22449.0
6.2,22449.0
6.3,22449.0
6.4,22449.0
6.5,22449.0
6.6,22449.0
6.7,22449.0
6.8,22449.0
6.9,22449.0
7.0,22449.0
7.1,22449.0
7.2,22449.0
7.3,22449.0
7.4,22449.0
7.5,22449.0
7.6,22449.0
7.7,22449.0
7.8,22449.0
7.9,22449.0
8.0,22449.0
8.1,22449.0
8.2,22449.0
8.3,22449.0
8.4,22449.0
8.5,22449.0
8.6,22449.0
8.7,22449.0
8.8,22449.0
8.9,22449.0
9.0,22449.0
9.1,22449.0
9.2,22449.0
9.3,22449.0
9.4,22449.0
9.5,22449.0
9.6,22449.0
9.7,22449.0
9.8,22449.0
9.9,22449.0
10.0,22449.0
10.1,22449.0
10.2,22449.0
10.3,22449.0
10.4,22449.0
10.5,22449.0
10.6,22449.0
10.7,22449.0
10.8,22449.0
10.9,22449.0
11.0,22449.0
11.1,22449.0
11.2,22449.0
11.3,22449.0
11.4,22449.0
11.5,22449.0
11.6,22449.0
11.7,22449.0
11.8,22449.0
11.9,22449.0
12.0,22449.0
12.1,22449.0
12.2,22449.0
12.3,22449.0
12.4,22449.0
12.5,22449.0
12.6,22449.0
12.7,22449.0
12.8,22449.0
12.9,22449.0
13.0,22449.0
13.1,22449.0
13.2,22449.0
13.3,22449.0
13.4,22449.0
13.5,22449.0
13.6,22449.0
13.7,22449.0
13.8,22449.0
13.9,22449.0
14.0,22449.0
14.1,22449.0
14.2,22449.0
14.3,22449.0
14.4,22449.0
14.5,22449.0
14.6,22449.0
14.7,22449.0
14.8,22449.0
14.9,22449.0
15.0,22449.0
15.1,22449.0
15.2,22449.0
15.3,22449.0
15.4,22449.0
